MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE
3017044,Thyrotropin receptor Ab [Units/volume] in Serum,8923,international unit per liter,[iU]/L
3017501,Neutrophils [#/volume] in Blood by Manual count,8848,thousand per microliter,10*3/uL
3017501,Neutrophils [#/volume] in Blood by Manual count,8961,thousand per cubic millimeter,10*3/mm3
3017732,Neutrophils [#/volume] in Blood,8784,cells per microliter,{cells}/uL
3017732,Neutrophils [#/volume] in Blood,8848,thousand per microliter,10*3/uL
3017732,Neutrophils [#/volume] in Blood,8888,cells per cubic millimeter,{cells}/mm3
3017732,Neutrophils [#/volume] in Blood,8961,thousand per cubic millimeter,10*3/mm3
3018010,Neutrophils/100 leukocytes in Blood,8554,percent,%
3018311,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,8523,ratio,{ratio}
3018311,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,8596,calculated,{calc}
3018311,Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3018517,Mitochondria Ab [Presence] in Serum,8510,unit,[U]
3018572,Chloride [Moles/volume] in Blood,8753,millimole per liter,mmol/L
3018572,Chloride [Moles/volume] in Blood,9557,milliequivalent per liter,10*-3.eq/L
3018658,Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum,8610,beta-2 GPI IgG Ab unit,[GPI'IgG'U]
3018658,Beta 2 glycoprotein 1 IgG Ab [Units/volume] in Serum,8763,unit per milliliter,[U]/mL
3018677,aPTT in Platelet poor plasma by Coagulation assay,8555,second,s
3019050,Tissue transglutaminase IgA Ab [Units/volume] in Serum,8510,unit,[U]
3019050,Tissue transglutaminase IgA Ab [Units/volume] in Serum,8763,unit per milliliter,[U]/mL
3019050,Tissue transglutaminase IgA Ab [Units/volume] in Serum,45744813,clinical unit,{CU}
3019069,Monocytes/100 leukocytes in Blood,8554,percent,%
3019170,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,9040,milli-international unit per liter,10*-3.[iU]/L
3019170,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L,9093,micro-international unit per milliliter,10*-6.[iU]/mL
3019171,Body height Stated,9306,foot (international),[ft_i]
3019171,Body height Stated,9330,inch (US),[in_us]
3019198,Lymphocytes [#/volume] in Blood,8784,cells per microliter,{cells}/uL
3019198,Lymphocytes [#/volume] in Blood,8848,thousand per microliter,10*3/uL
3019198,Lymphocytes [#/volume] in Blood,8961,thousand per cubic millimeter,10*3/mm3
3019550,Sodium [Moles/volume] in Serum or Plasma,8753,millimole per liter,mmol/L
3019550,Sodium [Moles/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3019550,Sodium [Moles/volume] in Serum or Plasma,9551,milliequivalent,10*-3.eq
3019550,Sodium [Moles/volume] in Serum or Plasma,9557,milliequivalent per liter,10*-3.eq/L
3019633,Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay,8590,O.D. unit,[OD'U]
3019633,Sjogrens syndrome-A extractable nuclear Ab [Presence] in Serum by Immunoassay,8695,Ehrlich unit per milliliter,[EU]/mL
3019762,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,9040,milli-international unit per liter,10*-3.[iU]/L
3019762,Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L,9093,micro-international unit per milliliter,10*-6.[iU]/mL
3019897,Erythrocyte distribution width [Ratio] by Automated count,8554,percent,%
3019897,Erythrocyte [DistWidth] in Red Blood Cells by Automated count,8554,percent,%
3019897,Erythrocyte distribution width [Ratio] by Automated count,8583,femtoliter,fL
3019897,Erythrocyte [DistWidth] in Red Blood Cells by Automated count,8583,femtoliter,fL
3019897,Erythrocyte distribution width [Ratio] by Automated count,8848,thousand per microliter,10*3/uL
3019909,Hematocrit [Volume Fraction] of Blood by Centrifugation,8554,percent,%
3019942,Ribonucleoprotein extractable nuclear Ab [Presence] in Serum by Immunoassay,8695,Ehrlich unit per milliliter,[EU]/mL
3019942,Ribonucleoprotein extractable nuclear Ab [Presence] in Serum by Immunoassay,45744813,clinical unit,{CU}
3020416,Erythrocytes [#/volume] in Blood by Automated count,8549,million,10*6
3020416,Erythrocytes [#/volume] in Blood by Automated count,8554,percent,%
3020416,Erythrocytes [#/volume] in Blood by Automated count,8734,trillion per liter,10*12/L
3020416,Erythrocytes [#/volume] in Blood by Automated count,8784,cells per microliter,{cells}/uL
3020416,Erythrocytes [#/volume] in Blood by Automated count,8785,per cubic millimeter,/mm3
3020416,Erythrocytes [#/volume] in Blood by Automated count,8815,million per microliter,10*6/uL
3020416,Erythrocytes [#/volume] in Blood by Automated count,8816,million per milliliter,10*6/mL
3020416,Erythrocytes [#/volume] in Blood by Automated count,8848,thousand per microliter,10*3/uL
3020416,Erythrocytes [#/volume] in Blood by Automated count,8931,million per cubic millimeter,10*6/mm3
3020416,Erythrocytes [#/volume] in Blood by Automated count,9433,number ten,10*
3020416,Erythrocytes [#/volume] in Blood by Automated count,9442,million per liter,10*6/L
3020460,C reactive protein [Mass/volume] in Serum or Plasma,8751,milligram per liter,mg/L
3020460,C reactive protein [Mass/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3020509,Albumin/Globulin [Mass Ratio] in Serum or Plasma,8523,ratio,{ratio}
3020509,Albumin/Globulin [Mass Ratio] in Serum or Plasma,8596,calculated,{calc}
3020630,Protein [Mass/volume] in Serum or Plasma,8636,gram per liter,g/L
3020630,Protein [Mass/volume] in Serum or Plasma,8713,gram per deciliter,g/dL
3020630,Protein [Mass/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3020891,Body temperature,8517,Farad,F
3020891,Body temperature,9289,degree Fahrenheit,[degF]
3020891,Body temperature,9484,degree,deg
3020891,Body temperature,586323,degree Celsius,Cel
3021391,Anion gap 3 in Serum or Plasma,8596,calculated,{calc}
3021391,Anion gap 3 in Serum or Plasma,8753,millimole per liter,mmol/L
3021391,Anion gap 3 in Serum or Plasma,9557,milliequivalent per liter,10*-3.eq/L
3021447,Carbon dioxide [Partial pressure] in Venous blood,8876,millimeter mercury column,mm[Hg]
3021513,Carbon dioxide [Partial pressure] in Mixed venous blood,8876,millimeter mercury column,mm[Hg]
3021614,Rheumatoid factor [Units/volume] in Serum or Plasma,8985,international unit per milliliter,[iU]/mL
3021886,Globulin [Mass/volume] in Serum,8596,calculated,{calc}
3021886,Globulin [Mass/volume] in Serum,8713,gram per deciliter,g/dL
3021886,Globulin [Mass/volume] in Serum,8950,gram per deciliter calculated,g/dL{calc}
3021901,Oxygen saturation in Capillary blood,8554,percent,%
3022096,Basophils/100 leukocytes in Blood,8554,percent,%
3022217,INR in Platelet poor plasma by Coagulation assay,8523,ratio,{ratio}
3022217,INR in Platelet poor plasma by Coagulation assay,8596,calculated,{calc}
3022217,INR in Platelet poor plasma by Coagulation assay,8985,international unit per milliliter,[iU]/mL
3022250,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,8554,percent,%
3022250,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,8645,unit per liter,[U]/L
