ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
21601387	588597	6	7
21601387	588649	6	7
21601387	588687	5	6
21601387	588724	6	7
21601387	588738	6	7
21601387	588798	4	5
21601387	588855	6	7
21601387	588906	6	7
21601387	588911	6	7
21601387	588937	6	7
21601387	588954	5	6
21601387	588971	6	7
21601387	588979	5	6
21601387	589114	6	7
21601387	589239	6	7
21601387	589315	4	5
21601387	589419	5	6
21601387	589483	6	7
21601387	589492	6	7
21601387	589505	6	7
21601387	589550	4	4
21601387	589615	6	7
21601387	589665	6	7
21601387	589751	6	7
21601387	589760	5	5
21601387	589799	6	7
21601387	589850	6	7
21601387	589875	5	6
21601387	589926	6	7
21601387	589937	5	6
21601387	589971	5	6
21601387	589987	5	5
21601387	590016	6	7
21601387	590029	6	7
21601387	590062	6	7
21601387	590099	6	7
21601387	590113	4	5
21601387	590129	6	7
21601387	590176	6	7
21601387	590211	6	7
21601387	590228	5	6
21601387	590229	6	7
21601387	590293	6	7
21601387	590326	5	6
21601387	590361	6	8
21601387	590379	6	7
21601387	590390	6	7
21601387	590412	6	7
21601387	590445	5	5
21601387	701707	5	6
21601387	701917	4	4
21601387	701921	5	6
21601387	701926	4	5
21601387	701957	3	3
21601387	701960	4	5
21601387	701961	5	6
21601387	701966	5	6
21601387	702021	4	4
21601387	702133	3	3
21601387	702137	4	4
21601387	702140	4	5
21601387	702398	5	6
21601387	702598	5	6
21601387	702616	5	6
21601387	702617	5	6
21601387	739487	5	6
21601387	739493	5	6
21601387	739521	4	4
21601387	739535	4	5
21601387	739537	4	4
21601387	739541	5	6
21601387	739741	4	4
21601387	739748	4	5
21601387	739856	3	3
21601387	739859	4	5
21601387	740071	4	5
21601387	740075	4	5
21601387	740231	5	6
21601387	740234	5	6
21601387	740257	5	6
21601387	741578	3	3
21601387	741883	4	5
21601387	741886	5	6
21601387	741888	5	6
21601387	741951	4	5
21601387	742020	4	5
21601387	742062	4	5
21601387	742063	5	6
21601387	742152	5	6
21601387	745857	4	4
21601387	745862	5	6
21601387	745863	4	4
21601387	745870	4	5
21601387	745871	5	6
21601387	745872	4	4
21601387	745873	5	6
21601387	746328	3	3
21601387	746344	4	5
21601387	746345	5	6
21601387	746350	5	6
21601387	746352	5	6
21601387	746354	5	6
21601387	746396	5	6
21601387	746401	5	6
21601387	746441	5	6
21601387	746448	5	6
21601387	746453	4	4
21601387	746456	5	6
21601387	746602	4	4
21601387	746605	4	5
21601387	746612	5	6
21601387	746613	4	4
21601387	747033	4	5
21601387	747054	4	4
21601387	747061	4	5
21601387	747133	5	6
21601387	747210	4	5
21601387	747215	5	6
21601387	747221	4	4
21601387	747223	4	5
21601387	747227	4	5
21601387	747228	5	6
21601387	747229	4	4
21601387	747233	4	4
21601387	747237	3	3
21601387	747242	5	6
21601387	747248	5	6
21601387	747251	4	4
21601387	747351	4	4
21601387	747354	4	5
21601387	747362	3	3
21601387	747369	4	4
21601387	747372	4	5
21601387	747462	4	4
21601387	747465	4	4
21601387	747469	5	6
21601387	747787	5	6
21601387	747798	5	6
21601387	747886	5	6
21601387	779144	3	3
21601387	779150	4	4
21601387	779156	5	6
21601387	779180	3	3
21601387	779187	4	4
21601387	779237	4	4
21601387	779249	5	6
21601387	779376	5	6
21601387	779377	4	4
21601387	779380	5	6
21601387	779422	5	6
21601387	779709	5	6
21601387	779770	4	4
21601387	780229	5	6
21601387	780230	5	6
21601387	780246	5	6
21601387	780278	5	6
21601387	780279	5	6
21601387	782626	6	8
21601387	782692	6	7
21601387	782709	6	8
21601387	782991	6	8
21601387	783023	6	7
21601387	783061	5	5
21601387	783063	5	5
21601387	783141	5	5
21601387	783146	4	5
21601387	783156	6	7
21601387	783158	6	7
21601387	783161	5	6
21601387	783278	6	7
21601387	783279	6	8
21601387	783280	6	8
21601387	783281	5	6
21601387	783283	6	8
21601387	783296	4	4
21601387	783300	5	5
21601387	783301	6	6
21601387	783547	6	7
21601387	783572	6	6
21601387	783795	6	7
21601387	783798	6	6
21601387	783800	6	7
21601387	783902	4	4
21601387	783905	6	6
21601387	783907	6	6
21601387	783910	6	8
21601387	784041	4	4
