concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
37167521,Primary pituitary carcinoma,Condition,SNOMED,Disorder,S,1268352008,20230228,20991231,
37167533,Primary undifferentiated carcinoma of body of uterus,Condition,SNOMED,Disorder,S,1268387008,20230228,20991231,
37167534,Primary undifferentiated carcinoma of esophagus,Condition,SNOMED,Disorder,S,1268389006,20230228,20991231,
37167535,Primary undifferentiated carcinoma of liver and intrahepatic biliary tract,Condition,SNOMED,Disorder,S,1268391003,20230228,20991231,
37167536,Primary undifferentiated carcinoma of stomach,Condition,SNOMED,Disorder,S,1268396008,20230228,20991231,
37167554,Primary anaplastic thyroid carcinoma,Condition,SNOMED,Disorder,S,1268458008,20230331,20991231,
37167555,Primary adrenal cortical carcinoma,Condition,SNOMED,Disorder,S,1268459000,20230331,20991231,
37167556,Primary parathyroid carcinoma,Condition,SNOMED,Disorder,S,1268460005,20230331,20991231,
37167557,Primary cholangiocarcinoma of biliary tract,Condition,SNOMED,Disorder,S,1268461009,20230331,20991231,
37167558,Primary osteosarcoma of bone,Condition,SNOMED,Disorder,S,1268462002,20230331,20991231,
37167564,Primary synovial sarcoma,Condition,SNOMED,Disorder,S,1268484002,20230331,20991231,
37167565,Primary non-seminomatous germ cell neoplasm of testis,Condition,SNOMED,Disorder,S,1268485001,20230331,20991231,
37167566,Primary ganglioneuroblastoma,Condition,SNOMED,Disorder,S,1268486000,20230331,20991231,
37167567,Primary carcinoma of nasopharynx,Condition,SNOMED,Disorder,S,1268487009,20230331,20991231,
37167568,Primary carcinoma of stomach due to Epstein-Barr virus disease,Condition,SNOMED,Disorder,S,1268488004,20230331,20991231,
37167571,Primary collecting duct carcinoma of kidney,Condition,SNOMED,Disorder,S,1268499002,20230331,20991231,
37167572,Primary chromophobe renal cell carcinoma,Condition,SNOMED,Disorder,S,1268500006,20230331,20991231,
37167573,Primary tubulocystic renal cell carcinoma,Condition,SNOMED,Disorder,S,1268501005,20230331,20991231,
37167574,Primary embryonal sarcoma of liver,Condition,SNOMED,Disorder,S,1268502003,20230331,20991231,
37167575,Primary papillary renal cell carcinoma,Condition,SNOMED,Disorder,S,1268503008,20230331,20991231,
37167577,Primary neuroblastoma,Condition,SNOMED,Disorder,S,1268519001,20230331,20991231,
37167583,Primary carcinosarcoma of ovary,Condition,SNOMED,Disorder,S,1268526001,20230331,20991231,
37167584,Primary olfactory neuroblastoma,Condition,SNOMED,Disorder,S,1268528000,20230331,20991231,
37167585,Primary alveolar soft part sarcoma,Condition,SNOMED,Disorder,S,1268531004,20230331,20991231,
37167586,Primary carcinoma of ampulla of Vater,Condition,SNOMED,Disorder,S,1268532006,20230331,20991231,
37167587,Primary Ewing sarcoma of bone,Condition,SNOMED,Disorder,S,1268533001,20230331,20991231,
37167588,Primary Ewing sarcoma of soft tissue,Condition,SNOMED,Disorder,S,1268534007,20230331,20991231,
37167590,Primary adenoid basal carcinoma of cervix uteri,Condition,SNOMED,Disorder,S,1268536009,20230331,20991231,
