TEST_NAME,RESULT_UOM_NM,count
BANDS (BAND NEUTROPHILS % MANUAL),%,49
TACRO (TACROLIMUS (FK506/BWH)),NG/ML,49
"PSA (PSA, SCREEN)",ng/mL,49
RDW,gm/dL,48
"TPCRE (TOTAL PROTEIN CREAT RATIO, URINE)",MG/MG,47
ABASOP (BASOPHILS #),X10 3/uL,47
AEOSN (EOSINOPHILS #),X10 3/uL,47
AMONS (MONOCYTES #),X10 3/uL,47
FRT4M (FREE T4),ng/dL,47
BASOS (BASOPHILS %),%,46
UASAMOR (AMORPHOUS CRYSTALS),/hpf,46
IMMGRAN (IMMATURE GRANULOCYTE %),%,46
ANEU (NEUTROPHILS #),X10 3/uL,46
POLYS (NEUTROPHILS %),%,46
IMMGRAN (IMMATURE GRANULOCYTE #),X10 3/uL,46
AEO (EOSINOPHILS #),X10 3/uL,46
ALYMP (LYMPHOCYTE #),X10 3/uL,46
MONOS (MONOCYTES %),%,46
CRPT (C-REACTIVE PROTEIN),mg/L,46
ABASO (BASOPHILS #),X10 3/uL,46
ADENODNA (ADENOVIRUS RT QT PCR),copies/mL,45
MYELO (MYELOCYTES % (MANUAL)),%,45
MPSU6 (ALPHA 1-GLOBULIN),%,44
MPSU5 (ALBUMIN),%,44
MPSU12 (M SPIKE),mg/24hrs,44
MPSU1 (TOTAL PROTEIN),mg/24 h,44
MPSU3 (URINE VOLUME),mL,44
MPSU8 (BETA-GLOBULIN),%,44
MPSU7 (ALPHA 2-GLOBULIN),%,44
MPSU9 (GAMMA-GLOBULIN),%,44
MPSU11 (M SPIKE),mg/24hrs,44
MPSU2 (COLLECTION DURATION),h,44
MPSU4 (CONCENTRATION),mg/dL,44
TEST (TESTOSTERONE [BLOOD]),ng/dl,43
AFPTM (AFP (NON-MATERNAL)),ng/mL,43
GALACTAG (GALACTOMANNAN AG (INDEX)),Index,43
TSH (THYROID STIMULATING HORMONE),u[iU]/mL,43
EOSP (EOSINOPHILS % (MANUAL)),%,42
ATYPS (ABS REACTIVE LYMPHS),K/uL,42
LDH (LACTATE DEHYDROGENASE),U/L,41
PSAULT (PSA (DIAGNOSTIC) | CDR EHS LAB LRR),ng/mL,40
PAP (PROSTATIC ACID PHOS),ng/mL,40
ATYPL (ATYPICAL LYMPHS),%,40
ABASO (BASOPHILS % (MANUAL)),%,40
TROPT (TROPONIN-T),ng/mL,40
TRYPT (TRYPTASE),ng/mL,40
MG (MAGNESIUM | CDR SSHCC LAB LRR),mg/dL,39
LDLDIR (DIRECT LDL),mg/dL,39
PHOS (PHOSPHORUS LEVEL | CDR MRMC LAB LRR),mg/dL,38
BLASTS (BLASTOCYTES % (MANUAL)),%,38
ESTF2 (ESTRADIOL),pg/mL,38
CHROMG (CHROMOGRANIN A),ng/mL,37
FSLYMP (FISSURED LYMPHS),%,36
FLYMPHA (ABS FISSURED LYMPHS),K/uL,35
ATYPS (REACTIVE LYMPHOCYTES (MANUAL)),%,35
DHEASLF (DHEA-SULFATE),ug/ml,35
DBILI (DIRECT BILIRUBIN | CDR MRMC LAB LRR),mg/dL,35
"TES (TESTOSTERONE, TOTAL)",ng/dl,34
FESAT (IRON SATURATION),%,34
UOSM (URINE OSMOLALITY),mOsm/kg water,34
PROMYELO (PROMYELOCYTES % (MANUAL)),%,34
MYELOS,%,34
LYMPH (LYMPHOCYTES % | CDR MRMC HEM LRR),%,33
GRAN (ABSOLUTE GRANULOCYTES (CBC) | CDR MRMC HEM LRR),10*/uL,33
ANEUT (ABSOLUTE NEUTROPHIL | CDR MRMC HEM LRR),10*3/uL,33
"PSA (PSA, PROSTATE SPECIFIC ANTIGEN)",ng/ml,33
ABASO (ABSOLUTE BASOPHILS (CBC) | CDR MRMC HEM LRR),10*3/uL,33
PHOS (PHOSPHORUS | CDR SSHCC LAB LRR),mg/dL,33
AMONO (ABSOLUTE MONOCYTES (CBC) | CDR MRMC HEM LRR),10*3/uL,33
AEO (ABSOLUTE EOSINOPHILS (CBC) | CDR MRMC HEM LRR),10*3/uL,33
MONO (MONOCYTES % | CDR MRMC HEM LRR),%,33
TACRO (TACROLIMUS),ng/mL,33
ALYMPH (ABSOLUTE LYMPHOCYTES (CBC) | CDR MRMC HEM LRR),10*3/uL,33
POLY (NEUTROPHILS % | CDR MRMC HEM LRR),%,33
FER (FERRITIN),ng/ml,33
UTIME (COLLECTION DURATION),h,32
"TROPTHS (TROPONIN-T, HS GEN5)",ng/L,32
EO (EOSINOPHILS % | CDR MRMC HEM LRR),%,31
BAND (BAND NEUTROPHILS % | CDR MRMC HEM LRR),%,31
ATYPS (ATYPICAL LYMPHOCYTES % | CDR MRMC HEM LRR),%,31
BUNCRE (BUN/CREAT RATIO | CDR EHS LAB LRR),RATIO,30
ALKP (ALKALINE PHOSPHATASE | CDR MRMC LAB LRR),IU/L,30
BLASTS (BLAST CELLS % | CDR MRMC HEM LRR),%,30
MYELO (MYELOCYTES % | CDR MRMC HEM LRR),%,30
AATYP (ABSOLUTE ATYPS),K/uL,30
META (METAMYELOCYTES % | CDR MRMC HEM LRR),%,30
PHOS (PHOSPHOROUS),mg/dL,30
BASO (BASOPHILS % | CDR MRMC HEM LRR),%,30
PROMYELO (PROMYELOCYTES % | CDR MRMC HEM LRR),%,30
PSA,ng/ml,29
PCELL (PLASMA CELL),%,29
UTVOL (URINE VOLUME),ML,29
UTIME (COLLECTION DURATION),H,29
AMYEL (ABSOLUTE MYELOS),K/UL,29
"TUTPMGDL (PROTEIN, TIMED UR (12 HR CONCENTRATION))",mg/dL,29
"TUTPMGDL (PROTEIN, TIMED UR (12 HR CONCENTRATION))",MG/DL,28
MMA (METHYLMALONIC ACID),nmol/mL,27
WBC (WHITE BLOOD COUNT),10*3/uL,27
CRPRTN (C-REACTIVE PROTEIN),mg/L,27
IC (IOCA),mmol/L,27
HCVRNAQ (HCV RNA DETECT/QNT),IU/mL,27
LACT (LACTIC ACID (MMOL/L)),mmol/L,27
PLT (PLATELET COUNT),10*3/uL,27
T3U (T3 UPTAKE),%,27
IGG (Immunoglobulin G),mg/dL,27
CEA,NG/ML,26
IGM (Immunoglobulin M),mg/dL,26
AMORPH (AMORPHOUS CRYSTALS),/HPF,26
IGA (Immunoglobulin A),mg/dL,26
FOLATE (FOLATE (FOLIC ACID)),ng/mL,26
TIBC (TOTAL IRON BINDING CAPACITY),ug/dL,25
CAOX (CA OX CRYSTALS),/HPF,25
13BGLUC (FUNGITELL QUANTITATIVE VALUE),pg/mL,25
UASCAOX (CA OX CRYSTALS),/hpf,25
ALKPHB (BONE ALKALINE PHOS),mcg/L,25
UP (URINE PHOSPHORUS),mg/dL,25
ANEUTS (ABSOLUTE NEUTS),th/cmm,25
HBVDNAI (HBV DNA DETECT/QNT),IU/mL,24
CD4 (CD3+ CD4+ (ABS)),/uL,24
"PT (PROTIME, PATIENT | CDR EHS HEM LRR)",seconds,24
APLASMA (ABSOLUTE PLASMA CELLS),K/uL,24
"SARSCOV2SPQT (SARS-COV-2 ANTIBODY, SPIKE (QUANTITATIVE))",U/mL,23
FER (FERRITIN),ng/mL,23
UPR (URINE PROTEIN (ADULT)(May be o),mg/dL,23
TES (TOTAL TESTOSTERONE | CDR EHS LAB LRR),ng/dL,23
"ANEU (ANC, ABSOLUTE NEUTROPHIL COUNT)",cell/mm3,23
B12 (VITAMIN B12),pg/ml,23
DFIBC (TOT IRON BINDING CAP),ug/dL,22
BETAEP (BETA GLOBULIN),g/dL,22
"TROPTHS (TROPONIN-T, HIGH SENSITIVITY (GEN 5))",ng/L,22
CTX (COLLAGEN CTX),pg/mL,22
INTERL6 (INTERLEUKIN 6),pg/mL,22
CD1656 (CD16/56+ (PCT)),% lymphs,21
OSM (OSMOLALITY),mOsm/kg water,21
PSAPCTF (% FREE PROSTATE SPECIFIC AG CALC | CDR MRMC LAB LRR),%,21
PSA (PROSTATE SPECIFIC ANTIGEN TOTAL | CDR MRMC LAB LRR),ng/mL,21
MVP (MEAN PLATELET VOLUME | CDR MRMC HEM LRR),fl,21
19PLUSPCT (CD3- CD19+ (PCT)),%Lymphs,21
PSAFREE (FREE PROSTATE SPECIFIC ANTIGEN | CDR MRMC LAB LRR),ng/mL,21
ANAQN (ANA (QUANT)),U,20
NRBCMI (NUCLEATED RBC MANUAL),/100 WBC,20
PROLYM (PROLYMPHOCYTE % | CDR MRMC HEM LRR),%,20
TES (TOTAL TESTOSTERONE | CDR MRMC LAB LRR),ng/dL,20
NEUT (NEUTROPHILS %),%,20
ANEUT (NEUTROPHILS #),X10 3/uL,20
LYMP (LYMPHOCYTE %),%,20
MG (MAGNESIUM | CDR EHS LAB LRR),mg/dL,20
MON (MONOCYTES %),%,20
"TRG (THYROGLOBULIN, IMMUNOASSAY)",NG/ML,19
FTES (FREE TESTOSTERONE | CDR MRMC LAB LRR),pg/mL,19
PSA (PROSTATE SPECIFIC ANTIGEN SCRN),ng/mL,19
THYGAB (THYROGLOBULIN AB),IU/ML,19
DHEAS,mcg/dL,19
NSEN (NEURON SPEC ENOLASE),ng/mL,19
SARSCOV2I (SARS-COV-2 ANTIBODY INDEX),COI,19
"TROPI (TROPONIN I, HIGH SENSITIVITY)",ng/L,19
ALPH2EP (ALPHA 2 GLOBULIN),g/dL,18
FIB (FIBRINOGEN (BWH)),MG/DL,18
META (METAMYELOCYTES %),%,18
"ALBCRE (ALBUMIN,CREAT RATIO)",mg/g,18
TRF (TRANSFERRIN),mg/dl,18
BHCG (HCG BETA),mIU/mL,18
UMALB (MICROALBUMIN),mg/L,18
UCRE (CREATININE),mg/dL,18
ALPH1EP (ALPHA 1 GLOBULIN),g/dL,18
FTES (FREE TESTOSTERONE | CDR EHS LAB LRR),pg/mL,17
BANDS (BANDS | CDR EHS HEM LRR),%,17
FRKLC (FREE KAPPA LT CHAIN),mg/L,16
IMMGRANPCT (IMMATURE GRANULOCYTES | CDR EHS HEM LRR),%,16
BANDS (BAND NEUTROPHILS %),%,16
FRLLC (FREE LAMBDA LT CHAIN),mg/L,16
OTHERS (OTHER CELLS %),%,16
IMMGRAN (IMMATURE GRANULOCYTE NO. | CDR EHS HEM LRR),10^3/uL,16
UK (URINE POTASSIUM),mmol/L,16
"TSH (TSH PLASMA,THYROID STIMULATING)",uIU/mL,16
"13BGLUC (1,3 BETA D GLUCAN)",pg/mL,16
TUMONOCP (M SPIKE),MG/24,16
TSH (THYROID STIMULATING HORMONE (TSH) | CDR MRMC LAB LRR),uIU/mL,16
URIC (URIC ACID),MG/DL,15
CD8AB (CD3+ CD8+ (ABS)),/uL,15
PROMABS (ABSOLUTE PROMYELOS),K/uL,15
FESAT (% IRON SATURATION),%,15
FOLATE,ng/ml,15
MONOCLP (M SPIKE),g/dL,15
NRBCPCT (NUCLEATED RBC),/100 WBCs,15
NRBC (NUCLEATED RED CELL),/100 WBC,15
"RHF (RHEUMATOID FACTOR, S)",IU/ML,15
C4 (COMPLEMENT C4),mg/dL,14
HAP (HAPTOGLOBIN),mg/dl,14
UASYEAS (BUDDING YEAST),/hpf,14
MACTH1 (ACTH),pg/mL,14
CPEPN (C-PEPTIDE),ng/mL,14
"ALKPI (AP ISO, INTESTINE %)",%,13
"ALKP (ALK PHOS, TOTAL)",U/L,13
ALKPL1 (APISO LIVER1 (IU/L)),IU/L,13
"ALKPL1 (AP ISO, LIVER-1 %)",%,13
ALKPI (APISO INTEST (IU/L)),IU/L,13
ALKPB (APISO BONE (IU/L)),IU/L,13
"ALKPB (AP ISO, BONE %)",%,13
ALKPL2 (APISO LIVER2 (IU/L)),IU/L,13
C3 (COMPLEMENT C3),mg/dL,13
"ALKPL2 (AP ISO, LIVER-2 %)",%,13
MG (MAGNESIUM),mg/dl,13
PLTPLASMA (PLATELET - CITRATED),K/uL,13
GAMMA (G-GLOBULIN),g/dL,13
AGRTO (A/G RATIO),RATIO,13
ALBEP (ALBUMIN ELECTROPHORESIS),g/dL,13
CALPRO (CALPROTECTIN),mcg/g,13
INSL (INSULIN),uU/mL,13
3PCT (CD3+ (PCT)),%lymphs,12
HBSAB,mIU/mL,12
CD3AB (CD3+ CD4+ (PCT)),%lymphs,12
ALYMPHS (ABSOLUTE LYMPH COUNT),/uL,12
FE (IRON),ug/dl,12
CD3CD8 (CD3+ CD8+ (PCT)),%lymphs,12
TIBC (TOTAL IRON BINDING CAPACITY),ug/dl,12
PHOS (PHOSPHORUS),MG/DL,12
"CHOLM (CHOLESTEROL,TOTAL)",mg/dL,12
"KAPFLC (FREE KAPPA LT CHAINS,S)",mg/L,12
"LFLC (FREE LAMBDA LT CHAINS,S)",mg/L,12
3PCT (CD3+ (PCT)),%Lymphs,12
"HDLMYO (CHOLESTEROL, HDL)",mg/dL,12
TRIGM (TRIGLYCERIDES),mg/dL,12
CD3AB (CD3+ CD4+ (PCT)),%Lymphs,12
LDLM (CALCULATED LDL),mg/dL,12
CD3CD8 (CD3+ CD8+ (PCT)),%Lymphs,12
CEA (CEA (OLD)),ng/mL,12
CD45 (CD45+ (PCT)),% lymphs,12
B2MIC (BETA 2 MICROGLOBULIN),mg/L,11
HAPT1 (HAPTOGLOBIN),mg/dL,11
PBCD34 (PERIPHERAL BLD CD34),CD34+CELLS/UL,11
COPPR (COPPER),mcg/mL,11
TSH,uIU/L,11
MGLU (ESTIMATED AVERAGE GLUCOSE),mg/dL,11
"CUSERUM (COPPER, SERUM)",mcg/dL,10
"TES (TESTOSTERONE, TOTAL (NG/DL))",ng/dL,10
TCD34 (TOT CD34 CELL CT),X 10^8,10
TNCCKG (TOT NUCL CELL CT/KG),X 10^8,10
FTES (FREE TESTOSTERONE),pg/mL,10
META (METAMYELOCYTES | CDR EHS HEM LRR),%,10
CMVG (CMV IGG),EIU,10
VITD3 (VITAMIN D 25 HYDROXY),ng/mL,10
CD34KG (TOT CD34+ CELLS/KG),X 10^6,10
UCA (URINE CALCIUM),mg/dL,10
TNCC (TOT NUCL CELL CT),X 10^10,10
CCNT (TOT CELLS COUNTED),COUNTED,10
UASTRAN (TRANSITIONAL EPITH),/hpf,10
AMETAS (METAMYELOCYTE NO. | CDR EHS HEM LRR),10^3/uL,10
NRBCPCT (NUCLEATED RBC | CDR EHS HEM LRR),/100 WBC,9
HDL (HDL CHOLESTEROL | CDR MRMC LAB LRR),mg/dL,9
MALCR (CREATININE),mg/dL,9
HDL (HDL CHOLESTEROL),mg/dL,9
"MALRAT (ALBUMIN,CREAT RATIO)",mg/g,9
DIHY (DIHYDROTESTOSTERONE(QUEST NICH),ng/dl,9
TRIG (TRIGLYCERIDES LEVEL | CDR MRMC LAB LRR),mg/dL,9
MYELO (MYELOCYTES %),%,9
GCAST (GRANULAR CAST),/lpf,9
LDL (LDL-CHOLESTEROL),mg/dL,9
FVII (FACTOR VII),%,9
HWT (PATIENT HARVEST WEIGHT (KG)),KG,9
QSHBG (SEX HORM BINDING GLB  (QUEST N),nmol/L,9
VITB6 (VITAMIN B6),mcg/L,9
QDHEAS (DHEA-SULFATE(QUEST)),ug/dL,9
ESTR (ESTRADIOL),pg/ml,9
CPKMB (CKMB),ng/mL,9
BTRI (TRIGLYCERIDE),mg/dL,9
ALBEP (ALBUMIN),g/dL,9
25VITD (VITAMIN D 25 HYDROXY),ng/mL,8
RRATE (RESPIRATORY RATE),RR,8
FIO2C (FIO2),%,8
GAMMEP (GAMMA GLOBULIN),g/dL,8
LHMYO (LUTEINIZING HORMONE),IU/L,8
LDL (LDL CHOLESTEROL | CDR MRMC LAB LRR),mg/dL,8
CHOL (CHOLESTEROL LEVEL | CDR MRMC LAB LRR),mg/dL,8
T3UP (T3 UPTAKE),%,8
CHOL (CHOLESTEROL),MG/DL,8
O2SAT (OXYGEN SATURATION),%,8
UUA (URINE URIC ACID),mg/dL,8
MCRALB (MICROALBUMIN),mg/L,8
TUMONOCP (M SPIKE),not reported,8
FOLATE,ng/mL,8
LOPM (O2 LITERS PER MIN.),L/M,8
CA199 (CA 19-9 (OLD)),U/mL,8
TSH3 (TSH CASCADE),u[iU]/mL,8
FIB (FIBRINOGEN),mg/dl,8
PT (PROTHROMBIN TIME),SEC,8
HR (HEART RATE),BPM,8
"CRYOG (CRYOGLOBULIN,S)",%ppt,8
AMYELOS (MYELOCYTE NO. | CDR EHS HEM LRR),10^3/uL,7
TTGABA (TTG IGA ANTIBODY),U/mL,7
LDLCAL (LDL CHOLESTEROL CALCULATED),mg/dL,7
IGG (IMMUNOFIXATION IGG | CDR MRMC LAB LRR),mg/dL,7
IGM (IMMUNOFIXATION IGM | CDR MRMC LAB LRR),mg/dL,7
TP (PROTEIN ELECTROPHORESIS (T) | CDR MRMC LAB LRR),g/dL,7
ANTCCP (ANTI CCP),EliA U/mL,7
"IGM (IGM, IMMUNOGLOBULIN M)",mg/dl,7
"IGG (IGG, IMMUNOGLOBULIN G)",mg/dl,7
GLU (RAPID GLUCOSE),mg/dL,7
UABLD (RBC URINE),/HPF,7
PTT (PTT ACT PARTIAL THROMBOPLASTIN),Sec,7
AFPC (ALPHA-FETOPROTEIN),ng/mL,7
UAUROBI (UROBILINOGEN URINE),{EhrlichU}/dL,7
ALPH1EP (ALPHA-1-GLOBULINS | CDR MRMC LAB LRR),g/dL,7
TES (TESTOSTERONE),NG/DL,7
"IGA (IGA, IMMUNOGLOBULIN A)",mg/dl,7
ALPH2EP (ALPHA-2-GLOBULINS | CDR MRMC LAB LRR),g/dL,7
IGA (IMMUNOFIXATION IGA | CDR MRMC LAB LRR),mg/dL,7
BGGLOB (BETA GAMMA GLOBULIN | CDR MRMC LAB LRR),g/dL,7
"INTERL2RS (INTERLEUKIN 2 RECEPTOR (CD25), SOLUBLE)",pg/mL,7
UCL (URINE CHLORIDE),mmol/L,7
EPOMAY (ERYTHROPOIETIN),mIU/mL,7
FTES (TESTOSTERONE FREE),pg/mL,7
HDLP (HIGH DENS.LIPOPROT),mg/dl,7
MYELO (MYELOCYTES | CDR EHS HEM LRR),%,7
FRETES (FREE TESTOSTERONE),ng/dL,7
VWFP (VW FACTOR),%,6
RBC (RBC | CDR SSHCC HEM LRR),M/mm3,6
CSFGLU (CSF GLUCOSE),mg/dL,6
"CRGSP1 (CRYOGLOBULIN,S)",% ppt,6
"WBCCSF2 (WBC, CSF (TUBE 2))",/ul,6
PT (PROTHROMBIN TIME | CDR MRMC HEM LRR),SEC,6
WBCCL (WBC CLUMPS),/hpf,6
WBC (WHITE BLOOD CELL COUNT | CDR SSHCC HEM LRR),K/mm3,6
"UCREADLT (CREATININE, URINE (ALDULTERANT))",mg/dL,6
IGE,kU/L,6
UMG (URINE MAGNESIUM),mg/dL,6
VWFACTIVITY (VWF ACTIVITY),%,6
CORT (CORTISOL),mcg/dL,6
VITB1 (VITAMIN B1),nmol/L,6
"KAPFLC (FREE KAPPA LIGHT CHAINS, QUANT | CDR MRMC LAB LRR)",mg/L,6
K (POTASSIUM | CDR CRMA LAB LLR),mEq/L,6
PRODCD34K (TOTAL CD34/KG),E6,6
PRODCD34 (TOT CD34 CELL CT),E8,6
NORMET (NORMETANEPHRINE),nmol/L,6
"LFLC (FREE LAMBDA LIGHT CHAINS, QUANT | CDR MRMC LAB LRR)",mg/L,6
MVP (MEAN PLATELET VOLUME | CDR SSHCC HEM LRR),fl,6
FRBC (FLUID RBC),/uL,6
CSFTP (CSF TOTAL PROTEIN),mg/dl,6
CHRL (CHOLESTEROL),mg/dl,6
PLT (PLATELET COUNT | CDR SSHCC HEM LRR),K/mm3,6
CA199 (CA19-9),[iU]/mL,6
FRUCSM (FRUCTOSAMINE),mcmol/L,6
FSHORM (FSH),IU/L,6
METAN (METANEPHRINE),nmol/L,6
MGLU (ESTIMATED AVERAGE GLUCOSE | CDR MRMC LAB LRR),mg/dL,6
HEPFONDA (ANTI FXA FONDAPARINUX),mg/L,6
TSH (TSH | CDR EHS LAB LRR),uIU/mL,6
TUMONOCP (M SPIKE),mg/24 h,6
TRYPT (TRYPTASE),ug/L,6
UAALB (URINE PROTEIN | CDR MRMC HEM LRR),MG/DL,6
UAKET (URINE KETONES | CDR MRMC HEM LRR),MG/DL,6
UAGLUC (URINE GLUCOSE | CDR MRMC HEM LRR),MG/DL,6
MCHC (MEAN CORPUSCULAR HGB CONC | CDR SSHCC HEM LRR),g/dl,6
MCH (MEAN CORPUSCULAR HEMOGLOBIN | CDR SSHCC HEM LRR),pg,6
GGTL (GGT),U/L,6
GHBA1C (HEMOGLOBIN A1C | CDR MRMC LAB LRR),%,6
MCV (MEAN CORPUSCULAR VOLUME | CDR SSHCC HEM LRR),fl,6
FVIII (FACTOR VIII),%,6
FWBC (FLUID WBC),/uL,6
"CORTACTH1 (ACTH STIM, 60 MINS)",ug/dL,6
RDW (RED CELL DISTRIBUTION WIDTH | CDR SSHCC HEM LRR),%,6
BASOP (BASOPHILS %),%,6
"RBCCSF2 (RBC, CSF (TUBE 2))",/ul,6
RECIPHWGT (PT HARVEST WT (KG)),KG,6
"CORTACTH30 (ACTH STIM, 30 MINS)",ug/dL,6
ALDOS (ALDOSTERONE),ng/dL,5
IGG (IMMUNOGLOBULIN G | CDR EHS LAB LRR),mg/dL,5
UTVOL (TOTAL VOLUME),mL,5
"DBILI (BILIRUBIN,DIRECT)",mg/dl,5
"DBILI (BILIRUBIN, DIRECT | CDR EHS LAB LRR)",mg/dl,5
"UALPRAZ (ALPRAZOLAM, URINE)",ng/mL,5
VLDL,MG/DL,5
GLUPOC (GLUCOSE - POCT),mg/dL,5
HHV6DNA (HHV6 PCR QUANT),copies/mL,5
"ULOR (LORAZEPAM,URINE)",ng/mL,5
FRT3 (FREE T3),pg/mL,5
LYMEIGGB (IGG BANDS (KDA)),kDa,5
LYPH (LYMPHOID),%,5
LYMEIGMB (IGM BANDS (KDA)),kDa,5
MYEL (MYELOID),%,5
UAALB (PROTEIN URINE),mg/dL,5
KAPFLC (FREE K LIGHT CHAINS),mg/L,5
FER (FERRITIN | CDR EHS LAB LRR),ng/mL,5
UHM3BG (HYDROMORPHONE GLUCURONIDE),ng/mL,5
IGA (IMMUNOGLOBULIN A | CDR EHS LAB LRR),mg/dL,5
"UBUPGLUC (BUPRENORPHINE GLUCURONIDE, UR)",ng/mL,5
BLAS (BLAST),%,5
"HOMCYS (HOMOCYSTEINE,TOTAL)",umol/L,5
"PBH (HOMOCYSTEINE,TOTAL)",MCMOL/L,5
ANION (ANION GAP | CDR SSHCC LAB LRR),mEq/L,5
ERYT (ERYTHROID),%,5
"UNORBUP (NORBUPRENORPHINE, URINE)",ng/mL,5
"UNORDZ (NORDIAZEPAM, URINE)",ng/mL,5
"UNORBUPGL (NORBUPRENORPHINE GLUCURONIDE, UR)",ng/mL,5
UOXAGLUC (OXAZEPAM GLUCURONIDE),ng/mL,5
ULORGLUC (LORAZEPAM GLUCURONIDE),ng/mL,5
"UOXAZEP (OXAZEPAM, URINE)",ng/mL,5
"UM3G (MORPHINE-3-BETA GLUCURONIDE, URINE)",ng/mL,5
"UM6G (MORPHINE-6-BETA GLUCURONIDE, URINE)",ng/mL,5
"7ACLONZ (7-AMINOCLONAZEPAM, UR)",ng/mL,5
UOXYMORPH (OXYMORPHONE),ng/mL,5
UOXCOD (OXYCODONE),ng/mL,5
"UTEMAZ (TEMAZEPAM, URINE)",ng/mL,5
VICODIN (HYDROCODONE),ng/mL,5
UCODEINE (CODEINE),ng/mL,5
UHDRMOR (HYDROMORPHONE),ng/mL,5
"CORT (ACTH STIM, BASELINE)",ug/dL,5
"DSDNAIGG (DNA DOUBLE-STRANDED AB, IGG, S)",IU/ML,5
"PRODTNCC (TOTAL NUCLEATED CELLS, PRODUCT)",E10,5
DHTS1 (DIHYDROTESTOSTERONE),pg/mL,5
"NOROXY (NOROXYCODONE, URINE)",ng/mL,5
UMORPH (MORPHINE),ng/mL,5
UASURAC (URIC ACID CRYSTALS),/hpf,5
UAUROBI (URINE UROBILINOGEN | CDR MRMC HEM LRR),E.U./DL,5
"TNCCKG (TOTAL NUCLEATED CELLS, PRODUCT/KG)",E8,5
PRMY (PROMYELO),%,5
UAWBCSCR (WBC URINE),/HPF,5
HBVQU1 (HBV DNA DETECT/QNT),IU/mL,5
LFLC (FREE LAMBDA LIGHT CHAINS),mg/L,5
"UBUNPUR (BUPRENORPHINE, UR (QUANT))",ng/mL,5
AMYEL (ABSOLUTE MYELOS),K/uL,5
"UNALOXNE (NALOXONE, URINE)",ng/mL,5
"PSAULT (PSA, ULTRASENSITIVE W/O SERIAL)",ng/mL,5
UAEPIS (EPITHELIAL CELLS URINE),/HPF,4
ALPH1EP (ALPHA 1 GLOBULIN | CDR EHS LAB LRR),g/dL,4
HCVQU1 (HCV RNA DETECT/QNT),IU/mL,4
MPV,fL,4
LAMBFREE (LAMBDA FREE LIGHT CHAINS | CDR EHS LAB LRR),mg/dL,4
KAPLCF (KAPPA FREE LIGHT CHAINS | CDR EHS LAB LRR),mg/dL,4
XAAB (ANTI XA),IU/mL,4
HR2 (HEART RATE 2),BPM,4
LAIGG (SS-B/LA IGG),U,4
O2SAT2 (OXYGEN SATURATION 2),%,4
ALPH1EP (ALPHA-1-GLOBULIN),g/dL,4
ALPH2EP (ALPHA 2 GLOBULIN | CDR EHS LAB LRR),g/dL,4
IGA (IMMUNOGLOBULIN A QN SERUM),mg/dL,4
FSP (FIBRINOGEN DEGRADATION PRODUCTS),mcg/mL,4
"GLOB (GLOBULIN, TOTAL)",g/dL,4
GLOB (GLOBULIN|CDR MRMC LAB),g/dL,4
IGG (IMMUNOGLOBULIN G QN SERUM),mg/dL,4
PTT (ACTIVATED PARTIAL THROMBOPLAST TIME | CDR MRMC HEM LRR),SEC,4
RENIN (RENIN ACTIVITY),ng/ml/h,4
ALBEP (ALBUMIN (ELECTROPH.) | CDR EHS LAB LRR),g/dL,4
"RHUT1 (RHEUMATOID FACTOR, S)",IU/mL,4
GLOB (TOTAL GLOBULIN),g/dL,4
PT (PROTHROMBIN TIME),Seconds,4
PT (PROTHROMBIN TIME),s,4
MMACID (METHYLMALONIC ACID),umol/L,4
GAMMEP (GAMMA (ELECTROPHORESIS) | CDR EHS LAB LRR),g/dL,4
ALPH2EP (ALPHA-2-GLOBULIN),g/dL,4
FE (IRON (FE)),ug/dl,4
"FE (IRON, SERUM)",UG/DL,4
UMONOCP (M SPIKE),mg/24 h,4
EOSP (EOSINOPHILS %),%,4
FGF23 (FB GROWTH FACTOR 23),RU/mL,4
GBM (GBM AB),U,4
MONOCLP (PROTEIN ELECTROPHORESIS M-SPIKE),g/dL,4
MONOCLP (M-SPIKE),g/dL,4
CRP (C REACTIVE PROTEIN),mg/L,4
CRCL (ESTIMATED CREATININE CLEARANCE | CDR SSHCC LAB LRR),ml/min,4
FIB (Fibrinogen),mg/dL,4
DFFL (FISSURED LYMPHS),%,4
SHBG1 (SEX HORMONE BIND GLOB),nmol/L,4
FIO2C2 (FIO2C 2),%,4
TP (TOTAL PROTEIN (ELECTROPH.) | CDR EHS LAB LRR),g/dL,4
UASTRIP (TRI PHOS CRYSTALS),/hpf,4
LOPM2 (O2 LITERS PER MIN.),L/M,4
CEA (CEA | CDR SSHCC LAB LRR),ng/ml,4
BETAEP (BETA GLOBULINS | CDR MRMC LAB LRR),g/dL,4
BETAEP (BETA GLOBULIN | CDR EHS LAB LRR),g/dL,4
B2M (BETA-2-MICROGLOBULIN | CDR MRMC LAB LRR),mg/L,4
"B2M (BETA-2 MICROGLOBULIN, SERUM)",mg/L,4
URIC (URIC ACID | CDR MRMC LAB LRR),mg/dL,4
"IGM (IMMUNOGLOBULIN M, SERUM (ARUP) | CDR EHS LAB LRR)",mg/dL,4
IGM (IMMUNOGLOBULIN M QN SERUM),mg/dL,4
VITDT (25-HYDROXY VITAMIN D TOTAL | CDR MRMC LAB LRR),ng/mL,4
