SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
DFCI,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,3053-6,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,317,53880,0.5883,232,15841,1.4646,9/22/2025
JH,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,3053-6,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,23297,25506,91.3393,11041,11856,93.1258,9/19/2025
FH,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,3053-6,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,1,14782,0.0068,1,5899,0.017,9/19/2025
DFCI,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,3053-6,LOINC,Measurement,S,8845,picogram per milliliter,pg/mL,UCUM,Unit,S,22096,53880,41.0097,5106,15841,32.2328,9/22/2025
FH,3010340,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,3053-6,LOINC,Measurement,S,8845,picogram per milliliter,pg/mL,UCUM,Unit,S,3,14782,0.0203,3,5899,0.0509,9/19/2025
DFCI,3010457,Eosinophils/100 leukocytes in Blood by Automated count,713-8,LOINC,Measurement,S,0,(NULL/0),,,,,467,3416436,0.0137,233,212042,0.1099,9/22/2025
JH,3010457,Eosinophils/100 leukocytes in Blood by Automated count,713-8,LOINC,Measurement,S,0,(NULL/0),,,,,778,1703982,0.0457,696,133509,0.5213,9/19/2025
FH,3010457,Eosinophils/100 leukocytes in Blood by Automated count,713-8,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,1566,1286195,0.1218,588,116165,0.5062,9/19/2025
DFCI,3010457,Eosinophils/100 leukocytes in Blood by Automated count,713-8,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,3415969,3416436,99.9863,212030,212042,99.9943,9/22/2025
JH,3010457,Eosinophils/100 leukocytes in Blood by Automated count,713-8,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,1703204,1703982,99.9543,133491,133509,99.9865,9/19/2025
FH,3010457,Eosinophils/100 leukocytes in Blood by Automated count,713-8,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,1284629,1286195,99.8782,116115,116165,99.957,9/19/2025
