SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
JHU,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,8860,microunit per milliliter,10*-6.[U]/mL,UCUM,Unit,S,11819,256207,4.6131,6044,75045,8.0538,12/16/2025
DFCI,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,8923,international unit per liter,[iU]/L,UCUM,Unit,S,745,671664,0.1109,572,136113,0.4202,12/19/2025
DFCI,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,8985,international unit per milliliter,[iU]/mL,UCUM,Unit,S,2,671664,0.0003,2,136113,0.0015,12/19/2025
DFCI,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,9040,milli-international unit per liter,10*-3.[iU]/L,UCUM,Unit,S,3375,671664,0.5025,1750,136113,1.2857,12/19/2025
DFCI,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,9093,micro-international unit per milliliter,10*-6.[iU]/mL,UCUM,Unit,S,655070,671664,97.5294,134303,136113,98.6702,12/19/2025
JHU,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,9093,micro-international unit per milliliter,10*-6.[iU]/mL,UCUM,Unit,S,244378,256207,95.383,71839,75045,95.7279,12/16/2025
DFCI,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,9550,milli-international unit per milliliter,10*-3.[iU]/mL,UCUM,Unit,S,28,671664,0.0042,23,136113,0.0169,12/19/2025
DFCI,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,44777578,milliunit per liter,10*-3.[U]/L,UCUM,Unit,S,4,671664,0.0006,3,136113,0.0022,12/19/2025
DFCI,3009201,Thyrotropin [Units/volume] in Serum or Plasma,3016-3,LOINC,Measurement,S,44777583,micro-international unit per liter,10*-6.[iU]/L,UCUM,Unit,S,3176,671664,0.4729,2265,136113,1.6641,12/19/2025
DFCI,3009214,Lutropin [Units/volume] in Serum or Plasma,10501-5,LOINC,Measurement,S,0,(NULL/0),,,,,1202,20350,5.9066,786,9633,8.1595,12/19/2025
