ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
1397599	35865147	1	1
1344905	43754337	3	3
1397599	43165214	2	2
1344905	40737814	2	3
1344905	43719673	2	2
1397599	36882979	2	2
1397599	2905638	3	4
1344905	40910982	3	4
1344905	43518649	3	4
1344905	43737817	3	3
1344905	35783786	3	5
1344905	589505	3	4
1344905	41316692	2	3
1344905	43664685	3	3
1397599	42919354	2	3
1397599	41212048	3	4
1344905	43789245	3	3
1344905	36280628	2	3
1344905	43197822	2	2
1344905	35139530	3	4
1344905	41356870	3	4
1344905	43219190	3	3
1344905	41375299	3	4
1344905	41359102	2	3
1344905	42919701	2	3
1344905	43042600	3	3
1344905	36280817	3	4
1397599	44181316	2	2
1397599	41253763	3	4
1344905	43826401	3	3
1344905	41373717	3	4
1344905	36780681	3	3
1344905	42658435	3	4
1344905	43629895	3	3
1344905	35781171	3	4
1344905	43753369	3	4
1344905	35781174	3	4
1344905	40837496	2	3
1344905	43186602	3	4
1397599	35786290	3	5
1344905	43208182	3	4
1344905	43809145	3	4
1344905	35780833	3	4
1397599	36064539	3	4
1397599	35865150	1	1
1344905	43772347	3	4
1344905	43041730	3	3
1397599	41423072	3	4
1344905	40860913	1	1
1344905	43196899	3	4
1344905	43683367	2	2
1397599	43718019	3	4
1397599	35759934	3	5
1344905	43718274	2	2
1397599	35157679	2	3
1397599	35786688	3	4
1344905	43659364	3	3
1344905	21029575	3	3
1344905	41374845	3	4
1397599	36779143	2	2
1344905	43861729	3	3
1344905	40962093	3	4
1344905	35784847	3	4
1344905	43861727	3	4
1344905	43695177	3	4
1397599	43264396	3	4
1344905	40823890	1	2
1344905	43826403	2	2
1344905	41356875	2	3
1344905	36238604	1	1
1397599	40714868	3	5
1344905	43785042	1	1
1397599	41417861	3	4
1344905	41390399	3	4
1344905	43259233	2	2
1344905	41356331	2	3
1397599	35746102	2	3
1397599	41176263	1	2
1344905	40709229	2	3
1344905	41374979	2	3
1344905	43789240	3	4
1344905	43593801	2	2
1344905	36779915	2	2
1344905	41374032	3	4
1344905	41254341	2	3
1344905	43844467	2	2
1397599	41422433	3	5
1344905	41066909	3	4
1344905	35781332	3	4
1344905	41285374	2	3
1344905	40022178	1	2
1397599	43711979	3	4
1344905	41402300	3	5
1397599	36895975	2	2
1397599	43195737	1	1
1344905	41375162	2	3
1397599	35786294	3	3
1397599	41055290	3	4
1344905	43515731	2	3
1344905	43716219	3	3
1344905	784792	3	5
1344905	41353134	3	4
1397599	36064550	1	1
1397599	43628773	3	4
1397599	41368531	3	4
1397599	43219076	3	4
1344905	43259052	3	3
1344905	40737809	1	1
1344905	41357436	3	4
1397599	35159402	3	4
1344905	43860598	3	3
1397599	35865158	1	2
1344905	41285371	2	3
1344905	41207924	1	2
1344905	41374536	2	3
1344905	43736431	3	5
1344905	43185921	3	3
1344905	36780689	2	2
1344905	43809144	3	3
1397599	35750224	3	4
1344905	36779916	3	5
1344905	43218823	3	3
1397599	43809618	3	4
1397599	35604090	2	3
1344905	40713711	3	5
1344905	43789239	3	4
1344905	43827169	3	4
1344905	43845851	3	5
1344905	41355820	2	3
1344905	21146712	3	4
1397599	41394618	2	3
1344905	36890549	1	1
1344905	35780303	3	5
1344905	41354750	3	4
1344905	43824344	2	3
1344905	36786098	3	3
1397599	36780163	3	3
1397599	2026804	3	4
1344905	42919698	2	3
1397599	41421327	2	3
1397599	35134956	2	3
1344905	43719752	3	4
1344905	36779245	3	4
1397599	43682876	2	3
1397599	43140694	3	3
1344905	42480412	1	1
1397599	36281594	3	4
1344905	41390421	3	4
1397599	35750223	3	3
1344905	41004644	3	4
1344905	35783792	2	2
1344905	36073912	3	5
1344905	21068946	3	3
1344905	40709228	3	4
1344905	41254340	3	4
1344905	43219661	3	3
1397599	41066291	2	3
1397599	41423071	3	4
1344905	41374849	3	4
1344905	43700583	2	3
1344905	35137761	3	4
1397599	41304963	3	3
1344905	44115797	3	4
