concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
36279574	10 ML Cisplatin 1 MG/ML Injectable Solution [Cisplatine Sandoz] Box of 5 by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3130449	20171001	20991231	
36279845	10 ML Cisplatin 1 MG/ML Injectable Solution [CISPLATINE ACCORD] by Accord	Drug	RxNorm Extension	Marketed Product	S	OMOP3130720	20171001	20991231	
36279906	10 ML Cisplatin 1 MG/ML Injection [Cisplatine Sandoz]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3130781	20171001	20991231	
36279916	10 ML Cisplatin 1 MG/ML Injectable Solution [CISPLATINE TEVA] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3130791	20171001	20991231	
36279971	15 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE SANDOZ] by Sandoz	Drug	RxNorm Extension	Marketed Product	S	OMOP3130846	20171001	20991231	
36279972	15 ML Carboplatin 10 MG/ML Injectable Solution [Carboplatinum Hikma Farmaceutica] by Eumedica	Drug	RxNorm Extension	Marketed Product	S	OMOP3130847	20171001	20991231	
36279979	15 ML Carboplatin 10 MG/ML Injection [Carbosin]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3130854	20171001	20991231	
36280012	15 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE KABI] by Fresenius	Drug	RxNorm Extension	Marketed Product	S	OMOP3130887	20171001	20991231	
36280026	15 ML Carboplatin 10 MG/ML Injection [Carbosin] by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP3130901	20171001	20991231	
36280052	15 ML Carboplatin 10 MG/ML Injectable Solution [Carboplatinum Hikma Farmaceutica]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP3130927	20171001	20991231	
36280613	45 ML Carboplatin 10 MG/ML Injectable Solution [Carboplatinum Hikma Farmaceutica] by Eumedica	Drug	RxNorm Extension	Marketed Product	S	OMOP3131488	20171001	20991231	
36280617	45 ML Carboplatin 10 MG/ML Injectable Solution [CARBOPLATINE KABI] by Fresenius	Drug	RxNorm Extension	Marketed Product	S	OMOP3131492	20171001	20991231	
